id,name,url,category,subcategory,special_tools
1,fluffy cheddar biscuits,https://cooking.nytimes.com/recipes/1020539-fluffy-cheddar-biscuits,bread,biscuit,
2,roti,https://cooking.nytimes.com/recipes/1020906-roti,bread,flatbread,
3,chocolate babka,https://cooking.nytimes.com/recipes/1018045-chocolate-babka,bread,kneaded,stand mixer
4,classic brioche,https://cooking.nytimes.com/recipes/1018927-classic-brioche,bread,kneaded,stand mixer
5,hawaiian buns,https://cooking.nytimes.com/recipes/1019259-hawaiian-buns,bread,kneaded,stand mixer
6,house made buns,https://cooking.nytimes.com/recipes/1013149-house-made-buns,bread,kneaded,stand mixer
7,light brioche buns,https://cooking.nytimes.com/recipes/1012612-light-brioche-buns,bread,kneaded,
8,olive oil challah,https://cooking.nytimes.com/recipes/1018481-olive-oil-challah,bread,kneaded,stand mixer
9,peach focaccia,https://cooking.nytimes.com/recipes/1020379-peach-focaccia-with-thyme,bread,kneaded,stand mixer
10,beer bread,https://cooking.nytimes.com/recipes/2766-beer-bread,bread,no-knead,
11,classic focaccia,https://cooking.nytimes.com/recipes/1021036-classic-focaccia,bread,no-knead,
12,no-knead bread,https://cooking.nytimes.com/recipes/11376-no-knead-bread,bread,no-knead,
13,no-knead dinner rolls,https://cooking.nytimes.com/recipes/1019859-no-knead-dinner-rolls,bread,no-knead,
14,pumpkin maple cornbread,https://cooking.nytimes.com/recipes/1020591-pumpkin-maple-cornbread,bread,no-knead,
15,tart dough,https://cooking.nytimes.com/recipes/1015673-tart-dough,bread,pastry,food processor
16,tender pie dough,https://cooking.nytimes.com/recipes/1015674-tender-pie-dough,bread,pastry,
17,vegan pie crust,https://cooking.nytimes.com/recipes/1020594-vegan-pie-crust,bread,pastry,
18,jingalov hats,https://cooking.nytimes.com/recipes/1020760-jingalov-hats,bread,stuffed,
19,cheese grits with saucy black beans,https://cooking.nytimes.com/recipes/1019926-cheese-grits-with-saucy-black-beans-avocado-and-radish,breakfast,grits,
20,zucchini pancakes,https://cooking.nytimes.com/recipes/1013960-zucchini-pancakes,breakfast,savory pancake,grater
21,green goddess dip,https://cooking.nytimes.com/recipes/1013024-greek-goddess-dip,condiment,dip,
22,fig jam,https://cooking.nytimes.com/recipes/1018270-fig-jam,condiment,jam,
23,dip,https://cooking.nytimes.com/recipes/1019033-creamy-queso-with-pickled-jalapenos,condiment,queso,
24,cowboy caviar,https://cooking.nytimes.com/recipes/1020433-cowboy-caviar,condiment,salsa,
25,salsa fresca,https://cooking.nytimes.com/recipes/1018098-salsa-fresca,condiment,salsa,
26,tomatillo salsa,https://cooking.nytimes.com/recipes/1018103-quick-green-tomatillo-salsa,condiment,salsa,
27,basic herb salsa,https://cooking.nytimes.com/recipes/1018234-basic-herb-salsa,condiment,sauce,
28,basic tahini sauce,https://cooking.nytimes.com/recipes/1018232-basic-tahini-sauce,condiment,sauce,
29,basic vinaigrette,https://cooking.nytimes.com/recipes/1018740-basic-vinaigrette,condiment,sauce,
30,basic yogurt sauce,https://cooking.nytimes.com/recipes/1018230-basic-yogurt-sauce,condiment,sauce,
31,chile sauce,https://cooking.nytimes.com/recipes/1018377-auntie-khar-imms-chile-sauce,condiment,sauce,
32,chimichurri,https://cooking.nytimes.com/recipes/1020544-chimichurri,condiment,sauce,
33,classic marinara,https://cooking.nytimes.com/recipes/1015987-classic-marinara-sauce,condiment,sauce,
34,pecan pesto,https://cooking.nytimes.com/recipes/1017537-pecan-pesto,condiment,sauce,
35,sofrito,https://cooking.nytimes.com/recipes/1018303-sofrito,condiment,sauce,
36,sos pwa nwa,https://cooking.nytimes.com/recipes/1018263-black-bean-sauce-sos-pwa-nwa,condiment,sauce,
37,tomato sauce,https://cooking.nytimes.com/recipes/1015178-marcella-hazans-tomato-sauce,condiment,sauce,
38,walnut cinnamon and halloumi baklava,https://cooking.nytimes.com/recipes/1018749-walnut-cinnamon-and-halloumi-baklava,dessert,baklava,
39,smores blondies,https://cooking.nytimes.com/recipes/1020331-smores-blondies,dessert,bars,
40,lemon raspberry danish with mascarpone,https://cooking.nytimes.com/recipes/1020180-lemon-raspberry-danish-with-mascarpone,dessert,bread,stand mixer
41,monkey bread,https://cooking.nytimes.com/recipes/1020835-monkey-bread,dessert,bread,
42,guinness brownies,https://cooking.nytimes.com/recipes/1020917-guinness-brownies,dessert,brownie,
43,apple kuchen,https://cooking.nytimes.com/recipes/1017685-apple-kuchen-with-honey-and-ginger,dessert,cake,grater
44,apple skillet cake,https://cooking.nytimes.com/recipes/1019536-apple-skillet-cake-with-salted-caramel-frosting,dessert,cake,stand mixer
45,black forest cake,https://cooking.nytimes.com/recipes/1020807-black-forest-cake,dessert,cake,
46,campari olive oil cake,https://cooking.nytimes.com/recipes/1020922-campari-olive-oil-cake,dessert,cake,
47,caramel cales,https://cooking.nytimes.com/recipes/11925-caramel-cales,dessert,cake,
48,carrot cake,https://cooking.nytimes.com/recipes/1015523-dorie-greenspans-carrot-cake,dessert,cake,grater
49,chocolate peanut butter cake,https://cooking.nytimes.com/recipes/1020931-chocolate-peanut-butter-bundt-cake,dessert,cake,bundt pan
50,chocolate streusel poundcake,https://cooking.nytimes.com/recipes/1017199-chocolate-streusel-poundcake,dessert,cake,
51,chocolate tres leches cake,https://cooking.nytimes.com/recipes/1020156-chocolate-tres-leches-cake,dessert,cake,
52,gooey butter cake,https://cooking.nytimes.com/recipes/1014032-st-louis-gooey-butter-cake,dessert,cake,stand mixer
53,hawaiian guava cake,https://cooking.nytimes.com/recipes/1020157-hawaiian-guava-cake,dessert,cake,
54,irish cream poundcake,https://cooking.nytimes.com/recipes/1020076-irish-cream-poundcake,dessert,cake,
55,kentucky butter cake,https://cooking.nytimes.com/recipes/1020431-kentucky-butter-cake,dessert,cake,bundt pan
56,lemon spice visiting cake,https://cooking.nytimes.com/recipes/1018963-lemon-spice-visiting-cake,dessert,cake,
57,lemony turmeric tea cake,https://cooking.nytimes.com/recipes/1020637-lemony-turmeric-tea-cake,dessert,cake,
58,namoura,https://cooking.nytimes.com/recipes/1018776-namoura-syrup-soaked-semolina-cake,dessert,cake,
59,norwegian apple cake,https://cooking.nytimes.com/recipes/1019617-norwegian-apple-cake,dessert,cake,stand mixer
60,pistachio poundcake with strawberries,https://cooking.nytimes.com/recipes/1018061-pistachio-poundcake-with-strawberries,dessert,cake,food processor
61,red wine honey cake with plums,https://cooking.nytimes.com/recipes/1014998-red-wine-honey-cake-with-plums,dessert,cake,bundt pan
62,rosemary olive oil and orange cake,https://cooking.nytimes.com/recipes/1018649-rosemary-olive-oil-and-orange-cake,dessert,cake,
63,sour cream coffee cake,https://cooking.nytimes.com/recipes/8927-sour-cream-coffee-cake,dessert,cake,
64,upside down date cake,https://cooking.nytimes.com/recipes/1019825-upside-down-date-cake-with-marmalade,dessert,cake,
65,upside down lemon sponge cake with maple butter,https://cooking.nytimes.com/recipes/1020683-upside-down-lemon-sponge-cake-with-lemon-maple-butter,dessert,cake,
66,warm fig and chocolate sponge cake,https://cooking.nytimes.com/recipes/1020401-warm-fig-and-chocolate-sponge-cake,dessert,cake,
67,double strawberry cheesecake,https://cooking.nytimes.com/recipes/1016566-double-strawberry-cheesecake,dessert,cheesecake,springform pan
68,japanese cheesecake,https://cooking.nytimes.com/recipes/1020666-japanese-cheesecake,dessert,cheesecake,
69,tall and creamy cheesecake,https://cooking.nytimes.com/recipes/1015672-tall-and-creamy-cheesecake,dessert,cheesecake,springform pan
70,peach cobbler,https://cooking.nytimes.com/recipes/4445-peach-cobbler,dessert,cobbler,
71,cocoa nib sables,https://cooking.nytimes.com/recipes/1020850-cocoa-nib-sables-with-flaky-sea-salt,dessert,cookie,
72,mexican wedding cookies,https://cooking.nytimes.com/recipes/1726-mexican-wedding-cookies,dessert,cookie,
73,spelt sables,https://cooking.nytimes.com/recipes/1013730-spelt-sables,dessert,cookie,
74,banana everything cookies,https://cooking.nytimes.com/recipes/1012904-banana-everything-cookies,dessert,cookies,
75,dirty chai earthquake cookies,https://cooking.nytimes.com/recipes/1020652-dirty-chai-earthquake-cookies,dessert,cookies,
76,flourless cocoa cookies,https://cooking.nytimes.com/recipes/1019075-flourless-cocoa-cookies,dessert,cookies,
77,gluten-free chocolate chip cookies,https://cooking.nytimes.com/recipes/1020871-gluten-free-chocolate-chip-cookies,dessert,cookies,
78,lemon cream cheese cookies,https://cooking.nytimes.com/recipes/1020112-lemon-cream-cheese-cookies,dessert,cookies,
79,salted tahini chocolate chip cookies,https://cooking.nytimes.com/recipes/1018055-salted-tahini-chocolate-chip-cookies,dessert,cookies,
80,baked apple cider doughnuts,https://cooking.nytimes.com/recipes/1019593-baked-apple-cider-doughnuts,dessert,doughnuts,stand mixer
81,baked figs and goat cheese,https://cooking.nytimes.com/recipes/1014978-baked-figs-and-goat-cheese,dessert,fruit,
82,caramel pears,https://cooking.nytimes.com/recipes/1020501-caramel-pears-with-rosemary-honey-and-walnuts,dessert,fruit,
83,apple cider whoopie pies,https://cooking.nytimes.com/recipes/1019674-apple-cider-whoopie-pies,dessert,hand pie,
84,kumquat and chocolate yule log,https://cooking.nytimes.com/recipes/1019824-kumquat-and-chocolate-yule-log,dessert,log,stand mixer
85,macarons,https://cooking.nytimes.com/recipes/1020694-macarons,dessert,macarons,
86,cream cheese semifreddo,https://cooking.nytimes.com/recipes/1020474-cream-cheese-semifreddo,dessert,misc,
87,blender chocolate mousse,https://cooking.nytimes.com/recipes/1020831-blender-chocolate-mousse,dessert,mousse,
88,chocolate tahini mousse,https://cooking.nytimes.com/recipes/1020849-chocolate-tahini-mousse,dessert,mousse,
89,fruit scuffin,https://cooking.nytimes.com/recipes/1016201-fruit-filled-scuffins,dessert,muffin,
90,whole grain banana yogurt muffins,https://cooking.nytimes.com/recipes/1019523-whole-grain-banana-yogurt-muffins,dessert,muffin,
91,upside down caramel apple muffins,https://cooking.nytimes.com/recipes/1014091-upside-down-caramel-apple-muffins,dessert,muffins,
92,japanese souflee pancakes,https://cooking.nytimes.com/recipes/1020120-japanese-souffle-pancakes,dessert,pancakes,
93,raspberry and cream eclairs,https://cooking.nytimes.com/recipes/1019969-raspberry-and-cream-eclairs,dessert,pastry,
94,rugelach,https://cooking.nytimes.com/recipes/1015634-rugelach,dessert,pastry,food processor
95,cheesecake pudding,https://cooking.nytimes.com/recipes/1020042-cheesecake-pudding,dessert,pudding,
96,smores pot de creme,https://cooking.nytimes.com/recipes/12062-smores-pot-de-creme,dessert,pudding,
97,sticky toffee pudding,https://cooking.nytimes.com/recipes/1019722-slow-cooker-sticky-toffee-pudding,dessert,pudding (british),slow cooker
98,banana bread,https://cooking.nytimes.com/recipes/1013989-banana-bread,dessert,quickbread,
99,cinnamon apple quickbread,https://cooking.nytimes.com/recipes/1019659-cinnamon-apple-quick-bread-with-apple-cider-glaze,dessert,quickbread,
100,cornmeal poundcake,https://cooking.nytimes.com/recipes/1021050-the-most-adaptable-one-bowl-cornmeal-poundcake,dessert,quickbread,
101,pumpkin bread,https://cooking.nytimes.com/recipes/1020571-pumpkin-bread,dessert,quickbread,
102,pumpkin bread with brown butter and bourbon,https://cooking.nytimes.com/recipes/1017797-pumpkin-bread-with-brown-butter-and-bourbon,dessert,quickbread,bourbon
103,spiced olive oil cake with orange glaze,https://cooking.nytimes.com/recipes/1020430-spiced-olive-oil-cake-with-orange-glaze,dessert,quickbread,
